"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.se","LM.se.rel","LM.MAE","LM.RMSE","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.se","HM.se.rel","HM.MAE","HM.RMSE","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","g.limit","k.ratio.lim"
"S1-VA-A1-1-openwater-dark",0.107477886192276,418.437371929656,466.518799894743,0.0659553195680208,0.000170290572334155,0.158442427895826,0.397993556039976,0.595403560201592,0.998170755469691,0,0.113869957966799,417.968916868711,855.659491851913,0.0698779044971302,0.000663851946962758,0.582991298860685,0.356164556210425,0.557487331257592,0.998396315557877,0.000159651380429684,418.275354033165,466.169553819288,0.00781293968664868,3.5,1.62955599178672,731,0.0188443770194345,1.05947336704303,"","",0.113869957966799,"HM","",2,1
"S1-VA-A1-10-bare-dark",1.55991285675064,415.82343501286,434.277550332282,0.060904671021196,0.00768911882339872,0.492919767288505,0.348736668255551,0.460102968656634,0.992667695378842,0,1.5860097922071,415.772350820082,972.608121909685,0.061923590290794,0.0308782424151442,1.94691373072634,0.349725438550786,0.459667986684352,0.992681663942724,0.000111206200294251,416.097385350155,433.954492929511,0.29487923866381,3.5,25.6123681582281,305,0.0174013345774846,1.01672973932071,"","",1.5860097922071,"HM","",2,1
"S1-VA-A1-11-bare-dark",0.00685299899493882,419.374549220009,419.846054801563,0.00129534500426917,0.0013148741731197,19.1868432213515,0.354419292592885,0.500989342259041,0.0668874383775921,3.13875131008378e-07,0.00744987487899035,419.365187815239,423.170027433006,0.0014081657116917,0.00548637442473187,73.643846559144,0.354106448577487,0.500344374340755,0.0692884486294398,0.000370098572648334,419.631117423236,419.658848405449,0.0507306461027652,3.5,5.29048166500266,366,0.000370098572648334,1.08709703364795,"MDF (HM)","MDF (LM)",0.00744987487899035,"HM","MDF",2,1
"S1-VA-A1-12-bare-dark",-0.107090769505606,418.771186652339,412.131488417079,-0.0202429824245729,0.00110987997243257,-1.03639181748009,0.291261400789093,0.361956808344998,0.965864462159275,7.58987208061218e-243,-0.173578145941578,419.383439309073,408.843493263008,-0.0328108517083852,0.00442468090516113,-2.54910022293381,0.182559484778992,0.253240771286676,0.983290613485899,0.00311299996840446,419.179753596293,412.479033674579,0.0562794296553774,3.5,5.29026638760548,330,-0.00578370926416368,1.62085067408626,"","",-0.173578145941578,"HM","",2,1
"S1-VA-A1-13-bare-dark",0.0477635091524036,418.330806608958,421.311732932139,0.00903311007024605,0.00451430948710488,9.4513773531602,0.53459051886787,1.48639716306005,0.251040248293288,1.0129537573862e-22,0.0662381722637394,418.235648968942,423.089429753418,0.012527067452291,0.0248454208744731,37.5092186655552,0.609093615981842,1.52034676194561,0.216436763764144,0.00258088859149887,419.249199849465,421.480934765044,0.0559112207925914,3.5,5.28760402352793,332,0.00258088859149887,1.38679450985033,"","MDF (LM)",0.0662381722637394,"HM","",2,1
"S1-VA-A1-14-vegetated-transparent",-9.34855601515559,404.570914424301,347.256337810488,-0.118418546722753,0.153720793117471,-1.64432659833523,4.69556656218775,6.01001033903302,0.884040222449328,8.53773433722071e-229,-21.1013371330117,414.371536582315,342.697331493486,-0.267291512523126,0.932233677797442,-4.41788912200746,3.9423504706859,4.94262825155997,0.92157169487797,0.00372925674155519,418.154722671343,359.177455369299,0.569706419830389,3.5,78.9450324622111,486,-0.0338338704922151,2.2571760920941,"Overestimated flux (g-fact)","",-9.34855601515559,"LM","g-fact. > 2",2,1
"S1-VA-A1-15-vegetated-dark",1.46952317608298,352.640853970785,359.439257840383,0.0186257640262945,0.0281537666221455,1.9158436614242,0.427689635843358,0.722261428741473,0.881532558901349,2.30466324811862e-171,1.47701395166555,352.634911090667,933.895444891581,0.018720707352569,0.112478183210917,7.61524175747165,0.427877815553539,0.722750392887554,0.881373416069816,3.22070848852452e-05,352.608769424836,360.324668849105,0.75448272821375,3.5,78.8973367217807,367,0.00532164686465556,1.00509741915234,"","",1.47701395166555,"HM","",2,1
"S1-VA-A1-16-bare-dark",0.0407692308252035,423.570481891913,426.000277828705,0.00667526356261412,0.00299966655943456,7.35767268285122,0.468140895229908,0.990030100915816,0.334818243631469,2.5911379014966e-34,0.0596676226957145,423.35723845399,428.479647565174,0.00976955168362617,0.014880674105144,24.9392776733046,0.457820634707407,0.962738214336225,0.370986519691735,0.00190721816074689,417.42350333389,425.493102603694,0.0585651526960266,3.5,6.10750878115706,366,0.00190721816074689,1.46354546033839,"","MDF (LM)",0.0596676226957145,"HM","",2,1
"S1-VA-A1-17-vegetated-transparent",-0.0126408150806191,436.46514777848,436.299051781505,-0.000492866459865111,0.12563174745882,-993.857964518752,2.30703670899148,8.79985911597176,-0.00293722932214391,0.919913539862878,-0.0125364174239989,436.464647507883,106.510817334456,-0.000488795986315068,0.255080824910954,-2034.71866230814,2.30667753786829,8.79985987999657,-0.00293740201611858,1.48140722008941e-06,434.7088945575,336.6733566325,0.265581095098755,3.5,25.6475457552512,339,-0.000140818988532889,0.991741224283843,"MDF (HM)","MDF (LM)",-0.0125364174239989,"HM","MDF",2,1
"S1-VA-A1-18-vegetated-dark",-0.399586190056722,343.645873117099,338.500163550004,-0.0155930592942264,0.0457945169841795,-11.4604854030813,1.60103383743053,3.11126353697889,0.185003449799868,1.33131139635777e-16,-0.890561273399302,344.582808502414,337.781401098063,-0.0347523890635106,0.319555908048112,-35.8825290963256,1.70815964619126,3.06917699601706,0.206903486333888,0.00510958791283128,343.05184360583,359.731873270936,0.270968739179902,3.5,25.6259007624421,332,-0.00445515979835041,2.22870883819304,"Overestimated flux (g-fact) | Exaggerated curvature (k.ratio)","",-0.399586190056722,"LM","g-fact. > 2 | kappa max",2,1
"S1-VA-A1-19-vegetated-transparent",-3.19271717993604,418.133396431945,379.134216557792,-0.124598018767263,0.0120297063016764,-0.376785841767463,0.510638317929807,0.755258497195037,0.995561939243702,0,-3.43022946779033,418.60373373575,129.732045816111,-0.133867101755727,0.0483963233872178,-1.41087713931842,0.482193352214452,0.725348984111227,0.9959064884752,0.000463413713956515,417.765713310818,377.11551481959,0.285619404147527,3.5,25.6241408292353,315,-0.0355994339335037,1.07439189707967,"","",-3.43022946779033,"HM","",2,1
"S1-VA-A1-2-openwater-dark",0.0906900729898769,424.702571766737,451.64032973839,0.0556565247348194,0.00154852243882079,1.70748835872438,1.75347534012053,2.93319682826112,0.876083458234299,8.09458652627339e-222,0.110624707938241,423.763095154973,504.592309341727,0.0678904161245316,0.00708025065761639,6.40024348047916,1.67407229368731,2.90386510902014,0.878549376583711,0.000839924237883497,423.058888807813,449.473115555195,0.0117589886787775,3.5,1.62945985977346,486,0.0159018642099484,1.21981055137743,"","",0.110624707938241,"HM","",2,1
"S1-VA-A1-20-vegetated-dark",-0.0136600068762922,372.44643960995,372.284362468485,-0.000533148491661265,0.00785563663360649,-57.5082919412029,0.29385568620605,0.472219508544455,0.00659135622437035,0.0830682570014329,-2.12038265653119,373.816295283306,372.262400982053,-0.0827582903370517,0.495107029645643,-23.349890554925,0.212663172174184,0.385999735671174,0.336235381157683,0.0532586355908072,373.398753851049,372.556937734046,0.294015981889938,3.5,25.6213927075518,306,-0.000152328140474647,155.225592178233,"Overestimated flux (g-fact) | Exaggerated curvature (k.ratio)","MDF (LM)",-0.0136600068762922,"LM","g-fact. > 2 | kappa max",2,1
"S1-VA-A1-21-openwater-dark",-0.00763325957169598,420.360672654098,418.63618457804,-0.00468610890233318,0.00129150587079605,-16.919454378113,1.20672233405465,1.62454664717785,0.0842134115644753,7.7879919151491e-09,-0.00769866473797388,420.363195974015,326.213429958651,-0.00472626156962749,0.00516891283899165,-67.1403810260218,1.20690148036685,1.62455495191328,0.0842041607652518,5.01993979343107e-05,416.285837823379,419.112081068841,0.0154503859317905,3.5,1.62891211680878,370,-0.00133888825780948,1.0085684451922,"MDF (HM)","MDF (LM)",-0.00769866473797388,"HM","MDF",2,1
"S1-VA-A1-22-openwater-dark",0.0199463252892682,428.683589511675,432.381061746778,0.0122432855466981,0.000236345583868086,1.18490789877596,0.186529952637603,0.221241589234911,0.959189001961045,4.79849427792199e-212,0.0329819235360914,428.320754371008,434.108122756022,0.0202446867719033,0.000789763458025764,2.39453425802028,0.0993812336280685,0.128335079242605,0.986267979505214,0.00349808158477088,428.789843698773,431.738492730212,0.0188187310115401,3.5,1.62916442757048,304,0.00349808158477088,1.65353382428977,"","",0.0329819235360914,"HM","",2,1
"S1-VA-A1-23-bare-dark",0.488009996157258,426.499154354533,429.169816710291,0.00826830450699011,0.00845918394846164,1.73340382678058,0.205169760091175,0.241661882055379,0.911260391045176,3.72522692782078e-172,0.7159532405035,426.292694773629,431.427500129039,0.0121303240750456,0.0320015946959572,4.46978837241546,0.14372010748671,0.175186548275462,0.953365994968812,0.00236237271628289,426.371394602805,428.641900645492,0.637580886987785,3.5,59.0217735382978,325,0.00236237271628289,1.46708724440306,"","MDF (LM)",0.7159532405035,"HM","",2,1
"S1-VA-A1-3-openwater-dark",0.0669135953695318,420.13861421028,440.180933192511,0.0410703257832596,0.00101033323218939,1.50990725667901,1.02138498596708,1.93772869892784,0.89967809955064,5.05771230766425e-246,0.0671572688901531,420.125395429061,2574.12582190177,0.041219888078058,0.00404061575410828,6.0166469257667,1.0210419748875,1.93962683307689,0.899483923478856,1.91364345018064e-05,421.266965957298,442.200347501721,0.0116612579780002,3.5,1.62924432892631,490,0.011734378795217,1.00364161452207,"","",0.0671572688901531,"HM","",2,1
"S1-VA-A1-4-vegetated-transparent",-4.68830906088502,411.84105777015,371.662374723825,-0.130875189075976,0.110448506456068,-2.35582818926231,3.92371562779077,4.8187645560805,0.853947149524719,1.68825645987434e-130,-13.6410933419102,421.636771615444,373.851819476852,-0.380794151396778,0.671206516492368,-4.92047447861227,2.33671227280169,3.29238864701368,0.931819400783185,0.00796891352516905,417.798555130289,378.948078165563,0.407076694248829,3.5,35.8227490938969,309,-0.0373929111645647,2.90959771737726,"Overestimated flux (g-fact)","",-4.68830906088502,"LM","g-fact. > 2",2,1
"S1-VA-A1-5-vegetated-dark",1.40284134920137,359.067224030341,371.020177838973,0.0391900124873189,0.0188645211028815,1.34473660286824,0.614631189999948,0.815657812081665,0.947557887374354,1.60490478192376e-197,1.40845126814443,359.058958639749,1580.62258259936,0.0393467321288925,0.075319543334288,5.34768543561455,0.61665284755569,0.817312937372955,0.947346704731633,3.22101373658728e-05,359.777339524986,370.901053932433,0.409430106530059,3.5,35.7958893137709,307,0.0111971464249483,1.00399896891139,"","",1.40845126814443,"HM","",2,1
"S1-VA-A1-6-vegetated-transparent",-10.0528124389768,407.69558997171,351.059594763425,-0.185691787568145,0.292270712563459,-2.90735268699797,5.37510389474193,8.3557566434527,0.794362299923848,5.49860816192316e-107,-36.034070882592,424.847704573359,358.7520856495,-0.665607866073626,2.43891350057824,-6.76835406281136,4.73721805030398,6.5726248372141,0.87276433636169,0.0100703779904141,428.757059099807,375.226463767471,0.619215046166916,3.5,54.1370868934504,307,-0.0530547964480416,3.58447659312537,"Overestimated flux (g-fact)","",-10.0528124389768,"LM","g-fact. > 2",2,1
"S1-VA-A1-7-vegetated-dark",2.36696945833036,361.377512319744,374.546464346554,0.0437506711854148,0.0333426517727312,1.40866421640484,0.722795063352895,0.935244345408622,0.943450690925983,4.9926327145843e-190,2.37355392974856,361.3710057772,2103.81701472886,0.0438723774638518,0.132988639245229,5.60293311975923,0.72525820742174,0.937200369029496,0.943216157986541,2.51786151412792e-05,361.137008324971,374.864721421876,0.62700215796222,3.5,54.1013290584544,303,0.0125001917672614,1.00278181511596,"","",2.37355392974856,"HM","",2,1
"S1-VA-A1-8-vegetated-transparent",-6.51411893647657,419.634272368512,342.129871888646,-0.254112788458578,0.0674811370357361,-1.03592116898369,1.66716387878585,4.07425873839698,0.968202876442723,1.158068109493e-230,-7.52240180053036,421.549711728728,116.234401406664,-0.293445439986476,0.29157310816097,-3.87606400046874,1.5315250662557,3.98314595480362,0.969609134796184,0.000961122583983534,436.420887433067,344.293766093346,0.293207975813439,3.5,25.6347544568321,307,-0.0726036538453081,1.15478422698238,"","",-7.52240180053036,"HM","",2,1
"S1-VA-A1-9-vegetated-dark",2.4146962321812,334.283450188573,362.8481678595,0.0942729956136216,0.0304437138488232,1.26076785324352,0.754767050306232,1.82158997074682,0.953898502330141,1.01635225732599e-204,2.43963101602008,334.233999375019,1653.42180880653,0.0952464831836692,0.121995468925544,5.00057050121305,0.747247797607783,1.82389735018903,0.953782596418813,7.22008515411572e-05,332.8412787899,361.660658201749,0.294896526921346,3.5,25.6138697668826,305,0.0269351416038919,1.01032626112824,"","",2.43963101602008,"HM","",2,1
